season,tm,g,gs,mp,fgper,fg,fga,threepper,threep,threepa,ftper,ft,fta,trb,orb,drb,ast,stl,blk,tov,pf,pts,w,l
18-19,洛杉矶湖人,33,33,1156,51.8%,334,645,36.0%,68,189,68.4%,175,256,269,29,240,237,43,24,114,53,911,19,14
17-18,克里夫兰骑士,82,82,3024,54.2%,857,1580,36.7%,149,406,73.1%,388,531,709,97,612,747,116,71,347,136,2251,50,32
16-17,克里夫兰骑士,74,74,2796,54.8%,736,1344,36.3%,124,342,67.4%,358,531,639,97,542,646,92,44,303,134,1954,51,23
15-16,克里夫兰骑士,76,76,2710,52.0%,737,1416,30.9%,87,282,73.1%,359,491,565,111,454,514,104,49,249,143,1920,56,20
14-15,克里夫兰骑士,69,69,2494,48.8%,624,1279,35.4%,120,339,71.0%,375,528,416,51,365,511,109,49,272,135,1743,50,19
13-14,迈阿密热火,77,77,2903,56.7%,767,1353,37.9%,116,306,75.0%,439,585,533,81,452,488,121,26,270,126,2089,52,25
12-13,迈阿密热火,76,76,2881,56.5%,765,1354,40.6%,103,254,75.3%,403,535,610,97,513,551,129,67,226,110,2036,61,15
11-12,迈阿密热火,62,62,2326,53.1%,621,1169,36.2%,54,149,77.1%,387,502,492,94,398,387,115,50,213,96,1683,45,17
10-11,迈阿密热火,79,79,3063,51.0%,758,1485,33.0%,92,279,75.9%,503,663,590,80,510,554,124,50,284,163,2111,57,22
09-10,克里夫兰骑士,76,76,2966,50.3%,768,1528,33.3%,129,387,76.7%,593,773,554,71,483,651,125,77,261,119,2258,60,16
08-09,克里夫兰骑士,81,81,3054,48.9%,789,1613,34.4%,132,384,78.0%,594,762,613,106,507,587,137,93,241,139,2304,66,15
07-08,克里夫兰骑士,75,74,3027,48.4%,794,1642,31.5%,113,359,71.2%,549,771,592,133,459,539,138,81,255,165,2250,45,30
06-07,克里夫兰骑士,78,78,3190,47.6%,772,1621,31.9%,99,310,69.8%,489,701,526,83,443,470,125,55,250,171,2132,47,31
05-06,克里夫兰骑士,79,79,3361,48.0%,875,1823,33.5%,127,379,73.8%,601,814,556,75,481,521,123,66,260,181,2478,47,32
04-05,克里夫兰骑士,80,80,3388,47.2%,795,1684,35.1%,108,308,75.0%,477,636,588,111,477,577,177,52,262,146,2175,41,39
03-04,克里夫兰骑士,79,79,3122,41.7%,622,1492,29.0%,63,217,75.4%,347,460,432,99,333,465,130,58,273,149,1654,33,46
16年,3支,1176,1175,45461,50.4%,11614,23028,34.4%,1684,4890,73.8%,7037,9539,8684,1415,7269,8445,1908,912,4080,2166,31949,780,396
